"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1022","53","0","2020","3","",2,10,9,10,80916,0,0,644,"",1.22,0.11,0.10,0.11,0.05,0.00,0.00,0.51,"",0,0.0,-1,-9.1,-2,-18.2,-2,-16.7,9274,12.9,0,0.0,0,0.0,158,32.5
"01000","2","1022","53","0","2020","3","",9,82,82,82,1270472,0,0,1192,"",2.24,0.97,0.98,1.00,1.39,0.00,0.00,1.41,"",0,0.0,0,0.0,1,1.2,-1,-1.2,27529,2.2,0,0.0,0,0.0,26,2.2
"01000","3","1022","53","0","2020","3","",55,651,653,652,4476266,83001,1284,528,"",0.86,0.39,0.40,0.40,0.35,0.26,1.11,0.89,"",0,0.0,-86,-11.7,-67,-9.3,-65,-9.1,50987,1.2,-17653,-17.5,73,6.0,58,12.3
"01000","5","1022","53","0","2020","3","",2594,18758,18798,18849,317209483,12002361,182168,1298,"",1.03,0.52,0.52,0.52,0.31,0.43,0.47,0.61,"",278,12.0,-2332,-11.1,-2159,-10.3,-1971,-9.5,3324639,1.1,-3262499,-21.4,-28272,-13.4,146,12.7
"01001","3","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1022","73","0","2020","3","",6,24,23,22,362694,12323,245,1213,"",0.35,0.12,0.11,0.11,0.07,0.08,0.12,0.67,"",0,0.0,-7,-22.6,-8,-25.8,-9,-29.0,-132554,-26.8,6273,103.7,190,345.5,-16,-1.3
"01003","2","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",4.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","1022","73","0","2020","3","N",2,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1022","73","0","2020","3","",88,387,391,402,5466358,255451,5325,1069,"",0.69,0.27,0.28,0.29,0.17,0.18,0.28,0.62,"",11,14.3,-18,-4.4,-7,-1.8,6,1.5,610003,12.6,-64050,-20.0,93,1.8,134,14.3
"01005","5","1022","73","0","2020","3","",4,15,14,13,161985,4927,124,890,"",0.38,0.10,0.09,0.09,0.05,0.05,0.07,0.53,"",0,0.0,0,0.0,-1,-6.7,-3,-18.8,9283,6.1,-5202,-51.4,-44,-26.2,124,16.2
"01007","3","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",5.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1022","73","0","2020","3","",8,52,53,51,785494,17915,105,1162,"",0.52,0.33,0.33,0.32,0.24,0.16,0.08,0.73,"",-3,-27.3,-13,-20.0,-14,-20.9,-16,-23.9,-716491,-47.7,-13617,-43.2,-104,-49.8,-580,-33.3
"01011","5","1022","73","0","2020","3","N",2,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",4.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1022","73","0","2020","3","",7,43,42,44,405112,33741,384,725,"",0.75,0.36,0.34,0.36,0.16,0.31,0.24,0.46,"",-1,-12.5,-17,-28.3,-19,-31.1,-15,-25.4,-38432,-8.7,5219,18.3,-45,-10.5,156,27.4
"01015","3","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1022","73","0","2020","3","",30,335,335,337,4192901,160027,3264,961,"",0.62,0.41,0.41,0.41,0.21,0.28,0.48,0.52,"",-1,-3.2,-63,-15.8,-50,-13.0,-39,-10.4,-277478,-6.2,-99088,-38.2,-975,-23.0,71,8.0
"01017","3","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",3.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1022","73","0","2020","3","",5,45,42,47,553062,21854,370,952,"",0.42,0.29,0.27,0.30,0.16,0.21,0.29,0.56,"",-1,-16.7,-3,-6.2,-6,-12.5,1,2.2,-62898,-10.2,10632,94.7,229,162.4,-49,-4.9
"01019","5","1022","73","0","2020","3","",6,31,32,33,358670,24973,298,862,"",0.74,0.32,0.33,0.34,0.19,0.29,0.23,0.57,"",2,50.0,2,6.9,3,10.3,4,13.8,77548,27.6,21888,709.5,280,1555.6,116,15.5
"01021","3","1022","73","0","2020","3","N",1,0,0,0,0,0,0,0,"N",2.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
