job_title	company	location	salary	description	counts	city
job_title	company	location	salary	description	counts	city
job_title	company	location	salary	description	counts	city
Sr. Software Engineer/Architect	The DEI Group	Millersville, MD	$100,000 - $130,000 a year	Senior Software Engineer works as part of an aggressive team, comprised of software engineers as well as machinery engineers involved with designing, developing, and testing complex software applications related to integration of real-time sensor based machinery predictive analytics with a transactional equipment information database, producing web based BI dash-board views.Responsibilities: · Develop high-quality software design and architecture· Design and develop full stack software applications· Convert client’s high level requirements into functional workflows and data models. Convert functional requirements into associated software design.· Develop software and documentation, as derived from the functional requirements definitions and the selected design approach.· Collaborate with other professionals to determine functional and non-functional requirements for new software or applications· Develop high-level product specifications with attention to architectural efficiency, system integration, and functionality in line with defined customer requirements· Coordinate cross-functionally to ensure projects meets business objectives and compliance standards· Develop test plans for performing multi-level software testing against design· Support test and deployment of new products and featuresRequirements: · BS or MS degree in Computer Science or Computer Engineering· At least 7 years experience in software architecture design, development, testing, and documentation· Experience in C# based software, developed in the ASP.Net Framework.· Experience in MS SQL and Oracle DB.· (Preferred) Experience in InfluxDB and InfluxQL· Experience in web development tools jQuery, Ajax, Infragistics, Mindfusion, HighCharts, and Bootstrap.· Understanding of the Software Development Life Cycle Methodology· Outstanding communication and presentation abilities· Excellent knowledge of software and application design and architecture· A technical mindset with great attention to detail· Outstanding communication and presentation abilities· Ability to work as a team memberJob Type: Full-timePay: $100,000.00 - $130,000.00 per yearExperience:Software Engineering: 7 years (Required)Location:Millersville, MD (Required)Work Location:One locationCompany's website:The DEI GroupBenefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:No	6252	Washington
Senior Broadcast Engineer	RT America	Washington, DC 20005 (Downtown area)	$68,889 - $130,000 a year	T&R Productions/RT America has an immediate opening for a full-time Senior Broadcast Engineer in Washington DC to work in the latest in broadcast technology. Candidates for this position should have a broadcast background, 21st century skill set, and a team-oriented attitude.Responsibilities: · Responsible for hands-on technical and project support of audio and broadcast infrastructure systems for live studio broadcast events and post-production activities.· Install, test, upgrade, maintain, and repair television broadcast equipment.· Assume the role of the Chief Engineer in his or her absence.· Ensure that any engineering or technical problems reported by staff members is appropriately addressed.· Ensure engineering staff receive training in areas needed to enhance proficiency.· Liaise with vendors and IT personnel or engineering staff to achieve problem resolution.· Troubleshoot video, audio and IT issues and provide rapid resolutions.· Provide end users with professional and timely technical support.· Quickly and accurately troubleshoot issues in a high pressure, fast paced environment.· Execute and complete projects with minimal supervision.Job Requirements: · Strong knowledge of broadcast systems and signal workflow.· Familiarity with Grass Valley broadcast switchers, Lawo broadcast audio consoles, Ikegami broadcast cameras, Riedel intercom systems, video and audio patch panels, Shotoku robotic camera equipment, and Evertz routing switcher and distribution equipment.· Ability to prioritize and complete tasks on time and with quality.· Ability to lift up to 50 lbs and work at heights from ladders or similar equipment.Qualifications: · Minimum of an Associates degree in Electronics, Broadcasting or related field.· Five to ten years of engineering experience in a television environment.· SBE certification desired but not required.· Excellent verbal and written communication skills.To Apply: This is a full-time position in Washington DC. We offer a highly competitive salary benefit package.Job Type: Full-timePay: $68,889.00 - $130,000.00 per yearBenefits:Dental insuranceHealth insuranceLife insurancePaid time offParental leaveSchedule:8 hour shiftMonday to FridayWork Location:One locationWork Remotely:No	6252	Washington
Senior Network Engineer - Fortinet	Single Point Global, Inc.	Vienna, VA 22182	From $85,000 a year	SinglePoint Global serves the needs of customers around the globe with a diversified suite of IT services. Our core values involve delivering defined solutions, steadfast expertise, and outstanding support — all of which combine together to push our customer’s IT, and in-turn their business, to become more productive, efficient, and profitableWe are seeking a Senior Network Engineer - Fortinet for our clients based in Vienna, VA. The successful candidate is a talented, passionate individual with the skill and desire to design, deliver, and maintain an outstanding network infrastructure for the college. This position requires occasional work outside of normal business hours.Duties and TasksDesign, configure, deploy, and maintain the network infrastructure throughout the college including, but not limited to, campus and data center routing and switching, wireless, load balancers, VoIP systems, and firewalls.Work directly with a variety of campus community members to determine needs and develop enterprise network solutionsResponsible for always maintaining a professional attitude and delivering excellent customer service.Troubleshoot and debug network issues.Automate network monitoring to provide a proactive approach to mitigate network issues.Create and maintain documentation of policies and procedures, diagrams, and other technical documentation.Flexible schedule including the ability to work weekends and evenings on occasion.Support the on-site installation efforts of the team.Other duties as required or assigned by management.SkillsAbility to design robust, scalable enterprise and campus networks following industry best practices.Working knowledge of Fortinet Mid-Range and Enterprise Nextgen FirewallsExperience with both on-premise and cloud-based VoIP solutionsStrong knowledge of networking protocols such as: TCP/IP, OSI model, SNMP, DHCP, BGP, OSPF, and IPSecExperience designing and leading the implementation of large-scale projectsSelf-motivated with the ability to follow directions, complete time-sensitive tasks and meet deadlines with minimal supervisionExcellent interpersonal and customer service skills with a true desire to help fellow employees and campus visitorsProven ability to learn new technologiesExperienceAt least 5 years of experience designing, installing, and supporting large scale enterprise environments with diverse solutions from multiple vendorsKnowledge or product offerings from large enterprise networking vendors and service providers including: Cisco, Palo Alto, F5 Networks, CenturyLink, and PRTGExperience with drawing/reading network and wiring diagrams. Experience with Microsoft Visio a plus.Familiarity with IT governance standards and practices including ITIL framework and change management processes.Excellent communication and presentation skills (written and verbal)Ability to work well in a fast-paced professional office environmentStrong attention to detail, highly organizedBA/BS degree in computer science or information management preferredJob Type: Full-timePay: From $85,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programEmployee discountFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveProfessional development assistanceReferral programRetirement planTuition reimbursementVision insuranceSchedule:Monday to FridayAbility to Commute/Relocate:Vienna, VA 22182 (Preferred)Application Question(s):Are you willing to work onsite full time (no telework)?Experience:Fortinet Firewall: 5 years (Required)Cisco Networking: 5 years (Required)Work Location:One locationWork Remotely:No	6252	Washington
Cloud Implementation Engineer	RavenTek	Washington, DC 20001 (Shaw area)	None	"Description:

RavenTek has a current opening for a Cloud Implementation Engineer to Support the Department of Veterans Affairs (VA) Electronic Health Record Modernization (EHRM) program to reengineer existing integration to maximize the use of cloud capabilities including containers and other cloud applications with the result of full scalability in the horizontal and vertical environments. The Cloud Implementation Engineer will integrate SQA environment on AWS that will be leveraged to produce preproduction and production environments for DMLSS on the cloud.
. Requirements:
Required Security Clearance: US Citizen with the ability to obtain a Public Trust.
Qualifications Requirements:Create strategies and plans for integration of multiple IT systems/subsystems into an operational unit, ensuring full functional and performance capabilities are retained.
Coordinate with development and user teams to assess risks, goals, and needs and ensure that all are adequately addressed.
Must be experienced in introducing new hardware or software into a new or existing environment while minimizing disruption and mitigating risks.
Must be cost conscience when addressing goals.Familiarity with AWS and intersystem productsExperience with integration of complex systemsExperience with SQA Integration and development
Experience with HealthConnect

Required Education and Experience:Bachelor's Degree in Computer Science, Engineering, Math, or equivalentMinimum of 15 years of experience. An additional 8 years of relevant experience may be substituted for degree requirements.
Preferred Qualifications:VA experience preferred.Experience implementing Electronic Health Records
Employment Type: Full Time / Permanent

Working Conditions:
This position is fully remote.
Physical Requirements:
Sitting long periods of time.
Background Screening/Check/Investigation:
Successful Completion of a Background Screening/Check/Investigation will/may be required as a condition of hire.
ADA: RavenTek will make reasonable accommodations in compliance with the Americans with Disabilities Act of 1990.
EEO/AA: RavenTek does not discriminate based on race, color, national origin, sex, religion, age, disability, sexual orientation, gender identity, veteran status, height, weight, or marital status in employment or the provision of services and is an equal access/equal opportunity/affirmative action employer.
PM20
PI138461829"	6252	Washington
Senior Systems Engineer	River Front Services, Inc.	Chantilly, VA 20151	From $140,000 a year	This job supports the Department of Homeland Security Cybersecurity and Infrastructure Security Agency.Job SummaryIncumbent will apply broad systems engineering experience to activities supporting government IT security (80% software, 20% hardware) full lifecycle, from initial request through decommissioning.Translates wants and needs to requirements, prepare epics and consults on user stories.Reviews requested changes for their place in the overall system architecture and design.Develops cost/benefit analysis.Recommends process improvements and best practices.Required Education, Experience, & SkillsActive US Government Secret clearanceMin 7 yrs (with bachelors degree) work experience across multiple systems engineering domains.Requirements traceability experienceScaled Agile Framework (SAFe) experienceModel Based Systems EngineeringFamiliarity with cloud concepts including within government environmentsJob Type: Full-timePay: From $140,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insurancePaid time offReferral programRetirement planTuition reimbursementVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus payExperience:System architecture using frameworks such as TOGAF/DODAF: 4 years (Required)Transition to operations and maintenance: 4 years (Required)Creating domain and information exchange models: 2 years (Required)Test and evaluation: 2 years (Required)Conceptual/logical data models using tools -ERWIN, SA, etc.: 4 years (Required)Requirements development: 7 years (Required)Systems engineering: 7 years (Required)Security Clearance:Secret (Required)Work Location:One locationWork Remotely:Temporarily due to COVID-19	6252	Washington
Sr. Systems Engineer	Odgers Berndtson	Washington, DC	None	Build and maintain a virtual server infrastructureSupport and manage Level 3 help desk ticketsCreate and maintain network and security infrastructure within business environmentsSupport existing Cisco Meraki infrastructureNon-technical tasks including (but not exclusively); cabling, hardware inventory and office user moves.Lead large-scale technology upgrade and migration projects from design through turnoverSetup and configure desk phones/softphones and other network equipmentIdentify problems which require additional expertise and escalate to Senior Engineer.Coordinate system maintenance and infrastructure projects with lead engineer.Provide level 3 software and hardware support to all Partners, Principals, and Support Staff.Communicate to management the progress of projects from receipt to closure.Respond to user inquiries both remotely and face-to-face according to help desk procedures, providing support across a range of hardware and software products.Knowledge of Cisco Meraki environments is a plusCCNA certified is a plusReports directly to the US Head of IT.Job Type: Full-timeExperience:Relevant: 3 years (Preferred)Additional Compensation:BonusesWork Location:One locationBenefits offered:Paid time offHealth insuranceDental insuranceRetirement benefits or accountsGym memberships or discountsWorkplace perks such as food/coffee and flexible work schedulesOthers	6252	Washington
Cloud Infrastructure Architect	Deloitte	Arlington, VA	None	"Cloud Infrastructure Architect
Do you want to be at the forefront of Deloitte's emerging cloud practice? We're looking for exceptional problem-solvers to help address our clients' most compelling Cloud needs. You will work along-side top engineers and technical thought leaders building Cloud solutions helping shape the future of global enterprises. You will be at the heart of the technical solutioning and leading edge product development.
Work you'll do:
Lead/support technical teams to architect, build, and deploy cloud solutions across public, private and hybrid cloud environments to support enterprise clients. Cloud Infrastructure Architects are responsible for designing, maintaining and troubleshooting the client's infrastructure, cloud services, network, and infrastructure security. Architects will work closely with other cloud teams, project managers, engineers, and other functions.
Responsibilities include:
Oversee cloud infrastructure design and develop detailed architecture models for the client to host test, development, and production environments
Plan for system and application migration(s) to the cloud, adhering to the client's technical and business requirements
Develop and document technical designs for integration and implementation of new cloud applications and systems
Optimize cost of cloud solutions by identifying waste and automating cloud cost management
Lead the development of technical artifacts including Requirements Traceability Matrix (RTM), Detailed Technical Design, Security Architecture Plan, Services Description Document, etc.
Plan and develop support processes that adhere to best practices (ITIL)
Communicate effectively through strong written and oral communication skills for technical and non-technical audiences
Integrate with non-cloud technologies and third-party vendor products/services
Assess emerging technologies, stay abreast of industry trends, and give advice on investments prices versus performance
Experience with highly-available and fault-tolerant enterprise and web-scale software deployments
Certifications (Desired): Google - Professional Cloud Architect; AWS - Solutions Architect - Professional; Azure - MCSE: Cloud Platform and Infrastructure (Infrastructure Focus); VMware - VCAP/VCDX Data Center Virtualization
The Team:
Cloud Engineering
Our Cloud Engineering team focuses on enabling our client's end-to-end journey from On-Premise to Cloud, with opportunities in the areas of: Cloud Strategy, Op Model Transformation, Cloud Development, Cloud Integration & APIs, Cloud Migration, Cloud Infrastructure & Engineering, and Cloud Managed Services. We help our clients see the transformational capabilities of Cloud as an opportunity for business enablement and competitive advantage.
Cloud Engineering supports our clients as they improve agility and resilience, and identifies opportunities to reduce IT operations spend through automation by enabling Cloud. We accelerate our clients towards a technology-driven future, leveraging vendor solutions and Deloitte-developed software products, tools, and accelerators.
Qualifications
Required:

Bachelor's degree from an accredited college or university
Ability to obtain US Government Security clearance
5+ years software or infrastructure architecture experience
1+ years experience with micro-services architecture
Must be legally authorized to work in the United States without the need
for employer sponsorship, now or at any time in the future

Preferred:

Knowledge of EA principles and methodologies
Experience with Servers, Infrastructure, Platform Sizing, Infrastructure Cost Reduction
Possess any additional certifications (one or more) for the design/development of distributed solutions on a leading infrastructure platform such as:
IBM Certified Solution Architect - Cloud Computing Infrastructure v3
Google Cloud Platform Qualified Developer
Mirosoft Azure Solutions Architect
VMWare Certifications (Data Center Virtualization, Cloud Management and Automation, Network Virtualization)
Red Hat Certified Architect
Possess a certification for the architecture and implementation of solutions on a leading distributed software platform (e.g., Salesforce Technical Architect Certification)
How you'll grow
At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center .
Benefits
At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.
Deloitte's culture
Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.
Corporate citizenship
Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte's impact on the world.
Recruiter tips
We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you're applying to. Check out recruiting tips from Deloitte professionals.
#LI-GPS
#IND:GPS
gpscbo
CloudGPS"	6252	Washington
Cloud Engineer	Arthur Grand Technologies Inc	Arlington, VA	None	"Company Description
Arthur Grand Technologies is in the business of providing staffing and technology consulting services. We have doubled our revenue year over year for the past 5 years. This speaks to the long-lasting relationship and customer satisfaction that we have built in this short span of time. Our company is managed by a team of professionals who worked for big 5 consulting firms for 20+ years.
We are a minority owned staff augmentation and technology consulting company.
To keep our valued employees, we need to keep them engaged in challenging, interesting work, offer market-relevant benefits, and provide continued opportunities for professional growth.

Job Description
Position: Cloud Engineer
Location: Arlington, VA (This will be remote till covid but need to be onsite if client ask)
Duration: Full-Time
Clearance Level - Must Be Able to Obtain Public Trust
Responsibilities include:
Design solutions that ensure maximum flexibility and scalability, while meeting all required security controls.
Support the development of all required documentation necessary to support the engineering, security, and operational processes.
Perform business and technical alternative analysis for any/all aspects of the solution, aiding the customer is making decisions along the way.
Facilitate the transition of the solution to operations, initially and ongoing ensuring at all times the system is operating within the anticipated operating boundaries.
Required Education, Experience, & Skills
Bachelor's Degree in Computer Science, Engineering, or other Engineering or Technical discipline or equivalent relevant experience
At least five (5-7) years of professional IT experience performing duties in support of federal government agencies.
4+ years design, implementation and/or support of highly distributed applications demonstrating strong architectural skills to ensure availability, reliability, etc.
Hands-on experience with AWS (preferred), Azure, or other cloud services reinforced with architectural design experience
Experience designing and delivering large-scale solutions, most of which that have advanced to the production state.
Strong grasp of cloud computing SaaS, PaaS and IaaS fundamentals with experience designing and implementing solutions.
Develop cloud base solution designs and implementation plans based on customer needs
Familiar with lift-and-shift migrations and migration methodologies for cloud migration
Experience in Cloud Compute, Networking, Storage, and Identity Management AWS Certification or Azure Cloud Architect Certification (or desire to obtain certification)
Preferred Education, Experience, & Skills
Hands-on experience with AWS (preferred), Azure, or other cloud services reinforced with architectural design experience
Experience designing and delivering large-scale solutions, most of which that have advanced to the production state.
Strong grasp of cloud computing SaaS, PaaS and IaaS fundamentals with experience designing and implementing solutions.
Develop cloud base solution designs and implementation plans based on customer needs
Familiar with lift-and-shift migrations and migration methodologies for cloud migration
Experience in Cloud Compute, Networking, Storage, and Identity Management
AWS Certification or Azure Cloud Architect Certification (or desire to obtain certification)

Additional Information

AWS
Azure
Cloud"	6252	Washington
