Competition

"Department Name","Department ID","Total Actions","Total Dollars","Competed Actions","% Competed Actions","Competed Dollars","% Competed Dollars","Not Competed Actions","% Not Competed Actions","Not Competed Dollars","% Not Competed Dollars","Extent Competed Null Actions","% Extent Competed Null Actions","Extent Competed Null Dollars","% Extent Competed Null Dollars"
"NUCLEAR WASTE TECHNICAL REVIEW BOARD","4856","1","$29,835.08","1","100.0000%","$29,835.08","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"LIBRARY OF CONGRESS","0300","188","$47,600.00","186","98.9362%","$47,600.00","100.0000%","2","1.0638%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"VIETNAM EDUCATION FOUNDATION","9536","4","$80,062.00","4","100.0000%","$80,062.00","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD","9561","3","$102,361.06","3","100.0000%","$102,361.06","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"OFFICE OF SPECIAL COUNSEL","6201","11","$244,894.92","7","63.6364%","$124,185.19","50.7096%","4","36.3636%","$120,709.73","49.2904%","0","0.0000%","$0.00","0.0000%"
"MARINE MAMMAL COMMISSION","9513","31","$514,356.84","7","22.5806%","$304,942.56","59.2862%","24","77.4194%","$209,414.28","40.7138%","0","0.0000%","$0.00","0.0000%"
"ADMINISTRATIVE CONFERENCE OF THE U. S.","9515","54","$1,169,649.96","50","92.5926%","$1,087,587.86","92.9840%","4","7.4074%","$82,062.10","7.0160%","0","0.0000%","$0.00","0.0000%"
"ELECTION ASSISTANCE COMMISSION","9523","72","$1,654,836.84","61","84.7222%","$1,228,031.40","74.2086%","11","15.2778%","$426,805.44","25.7914%","0","0.0000%","$0.00","0.0000%"
"DISTRICT OF COLUMBIA COURTS","9534","41","$1,775,579.30","29","70.7317%","$1,223,754.97","68.9214%","12","29.2683%","$551,824.33","31.0786%","0","0.0000%","$0.00","0.0000%"
"NATIONAL MEDIATION BOARD","9524","428","$4,286,808.86","428","100.0000%","$4,286,808.86","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","4340","144","$5,183,228.86","69","47.9167%","$2,192,163.79","42.2934%","75","52.0833%","$2,991,065.07","57.7066%","0","0.0000%","$0.00","0.0000%"
"NATIONAL CAPITAL PLANNING COMMISSION","9502","250","$6,813,842.36","217","86.8000%","$6,231,689.21","91.4563%","33","13.2000%","$582,153.15","8.5437%","0","0.0000%","$0.00","0.0000%"
"FEDERAL HOUSING FINANCE AGENCY","9542","61","$6,891,992.87","41","67.2131%","$6,204,860.42","90.0300%","17","27.8689%","$635,405.12","9.2195%","3","4.9180%","$51,727.33","0.7505%"
"OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION","9514","331","$7,598,386.23","321","96.9789%","$7,505,108.22","98.7724%","10","3.0211%","$93,278.01","1.2276%","0","0.0000%","$0.00","0.0000%"
"COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED","9518","144","$7,600,890.82","72","50.0000%","$3,687,148.98","48.5094%","72","50.0000%","$3,913,741.84","51.4906%","0","0.0000%","$0.00","0.0000%"
"THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY","9511","160","$10,694,486.46","160","100.0000%","$10,694,486.46","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD","9565","897","$12,683,426.61","433","48.2720%","$6,463,401.55","50.9594%","459","51.1706%","$6,224,615.64","49.0768%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION","9504","934","$12,878,050.96","1","0.1071%","$233.10","0.0018%","933","99.8929%","$12,877,817.86","99.9982%","0","0.0000%","$0.00","0.0000%"
"FEDERAL LABOR RELATIONS AUTHORITY","5400","568","$17,489,957.05","411","72.3592%","$12,668,408.85","72.4325%","153","26.9366%","$4,741,671.38","27.1108%","4","0.7042%","$79,876.82","0.4567%"
"PRETRIAL SERVICES AGENCY","959P","619","$18,968,035.12","493","79.6446%","$12,939,671.99","68.2183%","126","20.3554%","$6,028,363.13","31.7817%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MARITIME COMMISSION","6500","1,008","$22,494,744.97","641","63.5913%","$14,864,938.28","66.0818%","363","36.0119%","$7,618,722.67","33.8689%","0","0.0000%","$0.00","0.0000%"
"SELECTIVE SERVICE SYSTEM","9000","802","$29,504,566.89","530","66.0848%","$21,271,479.47","72.0955%","272","33.9152%","$8,233,087.42","27.9045%","0","0.0000%","$0.00","0.0000%"
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","5300","807","$31,441,740.04","524","64.9318%","$26,621,478.13","84.6692%","277","34.3247%","$4,657,592.79","14.8134%","5","0.6196%","$125,005.00","0.3976%"
"NATIONAL ENDOWMENT FOR THE ARTS","5920","1,074","$34,558,300.48","765","71.2291%","$27,130,096.92","78.5053%","300","27.9330%","$7,204,819.56","20.8483%","9","0.8380%","$223,384.00","0.6464%"
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CORPORATION","7700","438","$35,293,717.21","333","76.0274%","$27,994,964.24","79.3200%","105","23.9726%","$7,298,752.97","20.6800%","0","0.0000%","$0.00","0.0000%"
"MERIT SYSTEMS PROTECTION BOARD","4100","2,563","$36,602,496.26","1,605","62.6219%","$24,705,786.16","67.4975%","949","37.0269%","$11,858,155.74","32.3971%","9","0.3512%","$38,554.36","0.1053%"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","5940","1,056","$36,692,030.68","406","38.4470%","$8,502,137.00","23.1716%","637","60.3220%","$27,985,533.68","76.2714%","13","1.2311%","$204,360.00","0.5570%"
