PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,All Occupations,total,"5,627,380",0.3,1000.000,1.00,25.96,"54,000",0.6,9.43,11.70,18.60,32.36,50.88,"19,610","24,340","38,700","67,310","105,830",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-0000,Management Occupations,major,"326,680",0.9,58.051,1.15,60.26,"125,350",0.6,23.15,34.17,52.22,76.25,#,"48,140","71,080","108,620","158,600",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1011,Chief Executives,detailed,"11,610",4.0,2.064,1.19,104.76,"217,900",2.0,44.26,70.30,#,#,#,"92,060","146,230",#,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1021,General and Operations Managers,detailed,"102,660",1.5,18.242,1.17,63.33,"131,730",0.9,22.96,33.67,52.13,83.12,#,"47,760","70,030","108,440","172,900",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1031,Legislators,detailed,750,7.8,0.133,0.33,*,"66,370",4.2,*,*,*,*,*,"37,290","48,260","60,630","82,120","104,560",TRUE,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2011,Advertising and Promotions Managers,detailed,"1,870",10.9,0.333,1.56,57.36,"119,300",4.5,20.08,31.67,48.96,72.61,#,"41,770","65,870","101,830","151,030",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2021,Marketing Managers,detailed,"9,920",3.8,1.764,1.26,68.57,"142,620",1.3,33.00,44.96,64.80,85.31,#,"68,630","93,520","134,780","177,440",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2022,Sales Managers,detailed,"25,880",2.9,4.599,1.74,61.50,"127,910",1.5,22.48,33.27,53.58,78.77,#,"46,760","69,190","111,450","163,850",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2031,Public Relations and Fundraising Managers,detailed,"2,280",5.9,0.405,0.93,63.19,"131,440",3.2,32.55,42.74,57.40,76.42,#,"67,700","88,900","119,380","158,960",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3011,Administrative Services Managers,detailed,"16,010",2.8,2.846,1.45,49.60,"103,160",1.8,25.79,33.20,45.30,59.85,77.38,"53,640","69,060","94,220","124,480","160,950",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3021,Computer and Information Systems Managers,detailed,"13,490",3.0,2.398,0.97,71.11,"147,920",1.3,40.69,52.47,67.35,84.72,#,"84,630","109,140","140,080","176,210",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3031,Financial Managers,detailed,"27,060",3.1,4.808,1.25,70.94,"147,560",1.3,36.18,46.98,63.79,86.63,#,"75,250","97,720","132,680","180,200",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3051,Industrial Production Managers,detailed,"7,410",3.3,1.316,1.07,51.27,"106,640",1.8,25.66,33.39,45.20,62.46,85.39,"53,380","69,450","94,010","129,920","177,610",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3061,Purchasing Managers,detailed,"3,480",4.8,0.618,1.17,52.41,"109,020",2.3,22.45,33.61,48.92,67.04,82.30,"46,690","69,910","101,760","139,440","171,180",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"5,810",5.1,1.032,1.30,45.59,"94,830",2.1,24.75,31.69,40.54,53.30,73.14,"51,480","65,910","84,330","110,850","152,140",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3111,Compensation and Benefits Managers,detailed,540,9.8,0.097,0.84,68.00,"141,440",3.2,34.06,46.08,64.76,85.16,#,"70,850","95,850","134,700","177,140",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3121,Human Resources Managers,detailed,"5,550",3.5,0.986,1.11,62.78,"130,590",3.6,31.58,42.07,56.58,75.57,#,"65,680","87,500","117,690","157,170",#,,
